epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5588,0.85271,1.59676,1.1821,0.78558,0.77821,0.83641,0.63607,0.84143,0.75589,1.08078,0.00332046,0.00332046,0.00332046
2,175.479,0.8986,1.08503,1.20292,0.69466,0.60806,0.67613,0.46454,1.06196,1.20105,1.29373,0.00655969,0.00655969,0.00655969
3,261.739,1.09402,1.4345,1.34649,0.31274,0.27893,0.22178,0.12074,1.54064,2.73809,1.84355,0.00970464,0.00970464,0.00970464
4,346.345,1.23448,1.73025,1.46118,0.50623,0.44266,0.44402,0.2602,1.40857,1.92519,1.6018,0.00957571,0.00957571,0.00957571
5,430.875,1.17681,1.5997,1.42349,0.57631,0.44555,0.48572,0.3018,1.34939,1.6734,1.54964,0.00943429,0.00943429,0.00943429
6,515.15,1.13672,1.50368,1.3948,0.66812,0.53802,0.60931,0.39654,1.21344,1.35671,1.43985,0.00929286,0.00929286,0.00929286
7,599.937,1.10737,1.4205,1.36621,0.64129,0.57411,0.61594,0.40868,1.16305,1.32329,1.39698,0.00915143,0.00915143,0.00915143
8,684.135,1.07601,1.36316,1.34774,0.65754,0.5535,0.61377,0.4099,1.14566,1.29352,1.38378,0.00901,0.00901,0.00901
9,768.345,1.04716,1.30994,1.32756,0.70106,0.61932,0.68895,0.46997,1.08825,1.1221,1.32968,0.00886857,0.00886857,0.00886857
10,852.564,1.02866,1.26639,1.31081,0.73117,0.64304,0.7143,0.49899,1.06511,1.06767,1.30885,0.00872714,0.00872714,0.00872714
11,936.653,1.01631,1.23175,1.30178,0.62032,0.49717,0.54761,0.36656,1.18897,1.47673,1.44665,0.00858571,0.00858571,0.00858571
12,1021.34,0.99306,1.1904,1.28735,0.73495,0.65077,0.72604,0.51825,1.03884,1.06407,1.27153,0.00844429,0.00844429,0.00844429
13,1105.69,0.98902,1.17124,1.27865,0.74767,0.65375,0.73138,0.52318,1.02792,1.00328,1.26581,0.00830286,0.00830286,0.00830286
14,1190.03,0.97426,1.13597,1.2675,0.7617,0.66885,0.75387,0.54301,1.00648,0.97425,1.24991,0.00816143,0.00816143,0.00816143
15,1273.73,0.96205,1.11379,1.26382,0.75872,0.68211,0.76425,0.55836,0.98544,0.93017,1.23574,0.00802,0.00802,0.00802
16,1357.28,0.95251,1.09015,1.25369,0.7679,0.70702,0.78502,0.57612,0.96771,0.90796,1.22167,0.00787857,0.00787857,0.00787857
17,1440.72,0.94889,1.06885,1.25055,0.76473,0.70315,0.77681,0.57656,0.95495,0.88537,1.20048,0.00773714,0.00773714,0.00773714
18,1524.89,0.9321,1.05255,1.24137,0.78478,0.71556,0.79254,0.58308,0.95057,0.86509,1.19968,0.00759571,0.00759571,0.00759571
19,1609.18,0.92914,1.03829,1.23425,0.8104,0.71569,0.80586,0.5961,0.9483,0.8439,1.19434,0.00745429,0.00745429,0.00745429
20,1693.29,0.91839,1.02128,1.22728,0.79066,0.71213,0.79623,0.58941,0.94136,0.86108,1.19188,0.00731286,0.00731286,0.00731286
21,1776.78,0.91502,1.00286,1.22192,0.78662,0.73351,0.80496,0.60389,0.92236,0.81658,1.1771,0.00717143,0.00717143,0.00717143
22,1861.24,0.8991,0.98838,1.21884,0.79547,0.73003,0.80893,0.60733,0.9197,0.80459,1.17622,0.00703,0.00703,0.00703
23,1945.9,0.89673,0.96877,1.20826,0.81403,0.73073,0.81469,0.6133,0.91545,0.80309,1.17224,0.00688857,0.00688857,0.00688857
24,2030.32,0.88981,0.95247,1.20412,0.80933,0.73733,0.81756,0.62189,0.90827,0.78614,1.1673,0.00674714,0.00674714,0.00674714
25,2114.78,0.88353,0.94526,1.20126,0.81453,0.74634,0.828,0.62983,0.90624,0.76703,1.15948,0.00660571,0.00660571,0.00660571
26,2199.2,0.87585,0.9306,1.19465,0.8249,0.74731,0.83379,0.63525,0.89568,0.76147,1.15895,0.00646429,0.00646429,0.00646429
27,2283.71,0.8695,0.91985,1.19031,0.81792,0.75092,0.83589,0.6394,0.88697,0.74829,1.149,0.00632286,0.00632286,0.00632286
28,2368.38,0.8612,0.90672,1.18632,0.80444,0.76615,0.83645,0.64018,0.88641,0.74585,1.14706,0.00618143,0.00618143,0.00618143
29,2453.04,0.8618,0.89568,1.18212,0.81678,0.771,0.84192,0.64487,0.87907,0.73624,1.13897,0.00604,0.00604,0.00604
30,2537.55,0.84955,0.87711,1.17517,0.82836,0.76955,0.84842,0.65151,0.87954,0.72201,1.13952,0.00589857,0.00589857,0.00589857
31,2621.49,0.84802,0.86881,1.17204,0.82457,0.77342,0.85062,0.6559,0.87577,0.71798,1.13906,0.00575714,0.00575714,0.00575714
32,2706.15,0.83933,0.85741,1.16736,0.83092,0.76745,0.85237,0.65768,0.86692,0.70918,1.1316,0.00561571,0.00561571,0.00561571
33,2790.96,0.83469,0.84736,1.16367,0.82736,0.78209,0.8541,0.66084,0.86252,0.70285,1.12801,0.00547429,0.00547429,0.00547429
34,2876.05,0.82963,0.84192,1.16456,0.82646,0.7758,0.85246,0.66162,0.86606,0.70511,1.13002,0.00533286,0.00533286,0.00533286
35,2960.49,0.82152,0.83083,1.15754,0.82904,0.78094,0.85465,0.66201,0.86558,0.69427,1.13116,0.00519143,0.00519143,0.00519143
36,3045.02,0.81938,0.81818,1.15385,0.83042,0.78019,0.85346,0.66432,0.85717,0.68936,1.12125,0.00505,0.00505,0.00505
37,3128.88,0.81852,0.81617,1.1529,0.83756,0.78514,0.85498,0.6664,0.85722,0.68506,1.12176,0.00490857,0.00490857,0.00490857
38,3212.91,0.81227,0.79924,1.14574,0.84088,0.7824,0.85811,0.66957,0.8537,0.68218,1.11829,0.00476714,0.00476714,0.00476714
39,3297.23,0.80826,0.79521,1.14565,0.83381,0.79225,0.8625,0.6737,0.85539,0.67386,1.12185,0.00462571,0.00462571,0.00462571
40,3381.78,0.80402,0.78664,1.1419,0.8184,0.80511,0.86181,0.67433,0.84743,0.67384,1.11461,0.00448429,0.00448429,0.00448429
41,3465.89,0.79586,0.77602,1.13964,0.82426,0.79521,0.86108,0.67315,0.84664,0.66901,1.11627,0.00434286,0.00434286,0.00434286
42,3550.03,0.78505,0.7603,1.13212,0.84114,0.7906,0.86183,0.67438,0.84401,0.66548,1.11328,0.00420143,0.00420143,0.00420143
43,3634.46,0.77726,0.75412,1.12832,0.84017,0.79393,0.86313,0.67556,0.84342,0.66124,1.11262,0.00406,0.00406,0.00406
44,3718.65,0.78116,0.74304,1.12479,0.83856,0.78979,0.86196,0.67567,0.8433,0.65892,1.1118,0.00391857,0.00391857,0.00391857
45,3802.25,0.77203,0.73348,1.12314,0.84377,0.78966,0.86209,0.67689,0.84387,0.65768,1.11261,0.00377714,0.00377714,0.00377714
46,3885.79,0.76651,0.72447,1.11722,0.84552,0.78976,0.86215,0.678,0.84143,0.65791,1.11016,0.00363571,0.00363571,0.00363571
47,3969.94,0.76432,0.71745,1.11568,0.83974,0.79282,0.86229,0.67889,0.84102,0.65624,1.10931,0.00349429,0.00349429,0.00349429
48,4053.56,0.76061,0.70932,1.1133,0.83601,0.79861,0.86165,0.67931,0.84149,0.65459,1.10826,0.00335286,0.00335286,0.00335286
49,4137.52,0.7515,0.70098,1.10506,0.83394,0.80324,0.86317,0.67932,0.8423,0.6525,1.10834,0.00321143,0.00321143,0.00321143
50,4220.38,0.74499,0.68867,1.10269,0.83604,0.80355,0.86528,0.68046,0.8433,0.65234,1.10968,0.00307,0.00307,0.00307
51,4303.2,0.74474,0.68682,1.10174,0.83774,0.80352,0.86476,0.68062,0.84175,0.65123,1.11006,0.00292857,0.00292857,0.00292857
52,4386.07,0.73966,0.67423,1.09947,0.84755,0.79763,0.86469,0.68092,0.84086,0.65129,1.10964,0.00278714,0.00278714,0.00278714
53,4470.29,0.73183,0.66574,1.09591,0.84411,0.79979,0.86455,0.68126,0.84068,0.64996,1.11004,0.00264571,0.00264571,0.00264571
54,4555.03,0.72744,0.65597,1.09232,0.84115,0.80381,0.86421,0.68217,0.83898,0.64944,1.10951,0.00250429,0.00250429,0.00250429
55,4638.77,0.72131,0.64793,1.08461,0.84384,0.80121,0.8639,0.682,0.83856,0.64817,1.10926,0.00236286,0.00236286,0.00236286
56,4723.16,0.71799,0.64335,1.08591,0.84544,0.79982,0.86447,0.68242,0.83847,0.6471,1.10915,0.00222143,0.00222143,0.00222143
57,4807.45,0.71253,0.63002,1.07946,0.8409,0.80319,0.86509,0.68272,0.83838,0.64593,1.1091,0.00208,0.00208,0.00208
58,4891.74,0.70536,0.62487,1.07995,0.84179,0.80392,0.86497,0.68261,0.83919,0.64703,1.11034,0.00193857,0.00193857,0.00193857
59,4975.75,0.70003,0.61868,1.07452,0.84291,0.80176,0.8651,0.68319,0.83958,0.64633,1.11139,0.00179714,0.00179714,0.00179714
60,5059.3,0.69648,0.60426,1.06926,0.84199,0.80496,0.86488,0.68289,0.83967,0.64605,1.11148,0.00165571,0.00165571,0.00165571
61,5146.35,0.63513,0.45914,1.01731,0.84606,0.79957,0.86461,0.68287,0.83978,0.64603,1.11178,0.00151429,0.00151429,0.00151429
