epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.248,0.8522,1.59355,1.1811,0.79001,0.78648,0.84113,0.64538,0.82844,0.75192,1.07866,0.00332046,0.00332046,0.00332046
2,280.366,0.89782,1.08168,1.20375,0.6146,0.52633,0.54451,0.37301,1.09177,1.50274,1.32195,0.00660988,0.00660988,0.00660988
3,423.81,1.09574,1.44008,1.34632,0.37033,0.18918,0.16748,0.08609,1.65111,3.27089,1.88119,0.0098553,0.0098553,0.0098553
4,561.825,1.24599,1.75144,1.47303,0.38263,0.3093,0.26944,0.14819,1.58898,2.29926,1.82045,0.009802,0.009802,0.009802
5,700.677,1.18583,1.63087,1.43444,0.53958,0.47237,0.48099,0.29639,1.32093,1.71512,1.54491,0.009736,0.009736,0.009736
6,838.972,1.14457,1.5174,1.40022,0.6293,0.49401,0.54261,0.34679,1.25853,1.48609,1.50246,0.00967,0.00967,0.00967
7,977.395,1.11777,1.43658,1.37182,0.65601,0.53917,0.58793,0.38651,1.19971,1.41302,1.42695,0.009604,0.009604,0.009604
8,1115.28,1.08249,1.37534,1.35297,0.66245,0.55904,0.62659,0.42008,1.16542,1.28316,1.41444,0.009538,0.009538,0.009538
9,1253.88,1.05683,1.33154,1.33451,0.70199,0.61364,0.68902,0.47074,1.11349,1.1357,1.34396,0.009472,0.009472,0.009472
10,1390.89,1.03885,1.28484,1.31693,0.66721,0.58922,0.6512,0.44575,1.10867,1.17597,1.35164,0.009406,0.009406,0.009406
11,1527.76,1.03174,1.25277,1.30875,0.71405,0.63583,0.70354,0.4975,1.05001,1.08739,1.29528,0.00934,0.00934,0.00934
12,1666.18,1.00956,1.213,1.29596,0.73826,0.64393,0.72569,0.51399,1.04408,1.0443,1.28727,0.009274,0.009274,0.009274
13,1804.23,1.00203,1.19756,1.28876,0.74055,0.67429,0.74594,0.53309,1.03688,0.99988,1.27007,0.009208,0.009208,0.009208
14,1942.1,0.99067,1.16435,1.27768,0.76362,0.67284,0.75815,0.54745,1.00346,0.98169,1.24917,0.009142,0.009142,0.009142
15,2080.08,0.97556,1.14927,1.27308,0.76482,0.67784,0.75851,0.54825,1.00212,0.94034,1.2484,0.009076,0.009076,0.009076
16,2218.22,0.967,1.12597,1.26522,0.75259,0.68737,0.76035,0.55613,0.97793,0.92749,1.23242,0.00901,0.00901,0.00901
17,2355.9,0.96287,1.10135,1.2596,0.77144,0.69258,0.7722,0.56655,0.9659,0.9235,1.21816,0.008944,0.008944,0.008944
18,2493.22,0.95268,1.08999,1.25447,0.76682,0.70607,0.78311,0.57615,0.97888,0.89856,1.2246,0.008878,0.008878,0.008878
19,2630.18,0.94593,1.07103,1.24665,0.78185,0.69813,0.78648,0.57706,0.95743,0.87904,1.2121,0.008812,0.008812,0.008812
20,2767.69,0.93516,1.05844,1.23978,0.79215,0.7032,0.78886,0.58452,0.94505,0.88262,1.19646,0.008746,0.008746,0.008746
21,2905.66,0.93586,1.0498,1.23933,0.78102,0.72055,0.79406,0.58835,0.94576,0.84828,1.20435,0.00868,0.00868,0.00868
22,3043.64,0.92083,1.03017,1.23136,0.80348,0.71547,0.80493,0.60151,0.93429,0.83306,1.18628,0.008614,0.008614,0.008614
23,3182.01,0.92344,1.02006,1.22666,0.8031,0.731,0.81449,0.60451,0.93305,0.81653,1.18332,0.008548,0.008548,0.008548
24,3320.18,0.91378,1.00327,1.22315,0.79459,0.74273,0.81654,0.61547,0.92334,0.80267,1.17615,0.008482,0.008482,0.008482
25,3458.53,0.91243,0.99996,1.22285,0.79194,0.73968,0.81593,0.61614,0.91423,0.79118,1.16778,0.008416,0.008416,0.008416
26,3596.36,0.9033,0.98433,1.21535,0.80262,0.73921,0.81739,0.62063,0.90641,0.78193,1.16414,0.00835,0.00835,0.00835
27,3734.04,0.89764,0.97637,1.20812,0.80185,0.75454,0.82504,0.62657,0.9074,0.7811,1.16039,0.008284,0.008284,0.008284
28,3871.81,0.89267,0.96709,1.20663,0.81177,0.74886,0.82958,0.62964,0.90436,0.76764,1.16387,0.008218,0.008218,0.008218
29,4009.57,0.89349,0.95664,1.20546,0.80906,0.74836,0.82827,0.63228,0.89227,0.76505,1.15339,0.008152,0.008152,0.008152
30,4146.62,0.88099,0.93983,1.19806,0.80544,0.75507,0.82879,0.63342,0.89158,0.75397,1.15197,0.008086,0.008086,0.008086
31,4283.94,0.88064,0.92818,1.19247,0.82117,0.75279,0.83774,0.64192,0.88778,0.74179,1.14622,0.00802,0.00802,0.00802
32,4421.38,0.87885,0.93201,1.1921,0.82242,0.76059,0.84093,0.64622,0.87716,0.73858,1.13862,0.007954,0.007954,0.007954
33,4558.36,0.8736,0.9189,1.19056,0.82108,0.77119,0.84705,0.65094,0.87793,0.72311,1.14092,0.007888,0.007888,0.007888
34,4695.92,0.8692,0.91759,1.19017,0.82722,0.76382,0.84604,0.65239,0.87261,0.72667,1.13075,0.007822,0.007822,0.007822
35,4833.17,0.8599,0.90402,1.1824,0.83206,0.76413,0.84392,0.64997,0.87208,0.71948,1.13547,0.007756,0.007756,0.007756
36,4970.63,0.86203,0.89949,1.18302,0.82545,0.77351,0.84837,0.65334,0.86697,0.70832,1.13021,0.00769,0.00769,0.00769
37,5108.44,0.86377,0.89876,1.18403,0.83889,0.76372,0.8509,0.65909,0.86696,0.70473,1.13175,0.007624,0.007624,0.007624
38,5246.37,0.85943,0.88544,1.17637,0.82448,0.77487,0.85166,0.66093,0.86301,0.70732,1.12525,0.007558,0.007558,0.007558
39,5384.03,0.85854,0.8867,1.17865,0.83316,0.7667,0.85475,0.6621,0.86004,0.70039,1.12246,0.007492,0.007492,0.007492
40,5521.78,0.85291,0.87326,1.17553,0.82375,0.78334,0.85574,0.66512,0.85775,0.69466,1.12451,0.007426,0.007426,0.007426
41,5659.66,0.84975,0.87218,1.17557,0.82895,0.78431,0.85775,0.66584,0.85855,0.68906,1.12318,0.00736,0.00736,0.00736
42,5797.38,0.8392,0.85718,1.16734,0.8184,0.79844,0.85972,0.66801,0.85429,0.68369,1.1208,0.007294,0.007294,0.007294
43,5935.16,0.83474,0.85742,1.16678,0.83872,0.78057,0.86164,0.67139,0.84979,0.68044,1.11725,0.007228,0.007228,0.007228
44,6073.26,0.83854,0.85279,1.16379,0.83225,0.78873,0.86033,0.67252,0.84785,0.67704,1.11803,0.007162,0.007162,0.007162
45,6211.2,0.83458,0.84005,1.16258,0.83434,0.79051,0.86246,0.67459,0.84604,0.67543,1.11436,0.007096,0.007096,0.007096
46,6348.8,0.8286,0.8378,1.15884,0.83106,0.79508,0.86162,0.67251,0.84878,0.67692,1.1165,0.00703,0.00703,0.00703
47,6487.03,0.82911,0.83253,1.15967,0.83114,0.79103,0.86154,0.67376,0.84749,0.67199,1.11627,0.006964,0.006964,0.006964
48,6624.95,0.82715,0.82971,1.15823,0.83193,0.79537,0.86257,0.67417,0.84834,0.67114,1.11597,0.006898,0.006898,0.006898
49,6762.76,0.81984,0.81745,1.14813,0.8494,0.78107,0.86395,0.67542,0.84675,0.66745,1.11388,0.006832,0.006832,0.006832
50,6900.29,0.81714,0.8116,1.14934,0.84382,0.78519,0.86337,0.67653,0.84344,0.6657,1.11085,0.006766,0.006766,0.006766
51,7038.19,0.82168,0.81181,1.15071,0.8452,0.78462,0.86345,0.67759,0.84113,0.66461,1.11073,0.0067,0.0067,0.0067
52,7175.66,0.81776,0.80384,1.1505,0.84128,0.7891,0.86415,0.678,0.83946,0.66443,1.11002,0.006634,0.006634,0.006634
53,7313.54,0.81414,0.80184,1.14654,0.84309,0.78781,0.86563,0.67932,0.83917,0.66285,1.10971,0.006568,0.006568,0.006568
54,7450.36,0.8089,0.79217,1.14447,0.83836,0.79364,0.86538,0.68056,0.8384,0.66107,1.10939,0.006502,0.006502,0.006502
