epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.225,0.84378,1.53778,1.1731,0.7791,0.77612,0.835,0.63207,0.85575,0.79068,1.10177,0.00332046,0.00332046,0.00332046
2,328.873,0.89888,1.07545,1.20241,0.61069,0.50126,0.54232,0.36562,1.1879,1.63859,1.41074,0.00660988,0.00660988,0.00660988
3,492.457,1.09835,1.44475,1.34986,0.28446,0.28183,0.20384,0.10718,1.65019,2.85333,2.03873,0.0098553,0.0098553,0.0098553
4,655.16,1.24544,1.7535,1.47051,0.48809,0.36873,0.37414,0.22134,1.38878,1.90489,1.5983,0.009802,0.009802,0.009802
5,818.264,1.18066,1.61497,1.42961,0.53964,0.49525,0.50258,0.31583,1.27565,1.64336,1.50168,0.009736,0.009736,0.009736
6,981.019,1.14357,1.51092,1.39853,0.6412,0.5391,0.60156,0.39201,1.20289,1.43969,1.44176,0.00967,0.00967,0.00967
7,1144.29,1.1172,1.43527,1.37347,0.64533,0.5455,0.59574,0.39713,1.16234,1.35037,1.3799,0.009604,0.009604,0.009604
8,1307.17,1.08223,1.37313,1.35245,0.66615,0.58712,0.63407,0.42867,1.12894,1.23887,1.36081,0.009538,0.009538,0.009538
9,1470,1.05762,1.3235,1.33608,0.70034,0.61607,0.68375,0.47333,1.09302,1.15716,1.3375,0.009472,0.009472,0.009472
10,1632.92,1.04187,1.28525,1.32025,0.71071,0.59925,0.67349,0.46378,1.10047,1.15343,1.34516,0.009406,0.009406,0.009406
11,1795.59,1.03131,1.25813,1.31119,0.72934,0.62977,0.70838,0.49353,1.07559,1.09462,1.32653,0.00934,0.00934,0.00934
12,1958.55,1.00676,1.21045,1.29568,0.72626,0.64028,0.72307,0.51304,1.04543,1.03541,1.28624,0.009274,0.009274,0.009274
13,2121.11,1.00091,1.20205,1.28924,0.74683,0.66595,0.74115,0.52588,1.04136,0.99248,1.2837,0.009208,0.009208,0.009208
14,2283.58,0.98721,1.16569,1.2773,0.74716,0.68164,0.75682,0.54496,1.01636,0.96047,1.26519,0.009142,0.009142,0.009142
15,2446.26,0.97573,1.14739,1.27326,0.75261,0.67316,0.75304,0.54668,0.99788,0.96336,1.24409,0.009076,0.009076,0.009076
16,2608.94,0.96863,1.12578,1.26431,0.76178,0.70096,0.77462,0.56242,0.98456,0.92605,1.23416,0.00901,0.00901,0.00901
17,2771.88,0.96593,1.106,1.26419,0.7691,0.6841,0.76616,0.56002,0.97124,0.93141,1.22596,0.008944,0.008944,0.008944
18,2934.86,0.95065,1.09013,1.25347,0.76811,0.70964,0.78394,0.5735,0.97034,0.90366,1.21643,0.008878,0.008878,0.008878
19,3097.82,0.9512,1.07861,1.24948,0.78848,0.70715,0.79054,0.58153,0.96403,0.87404,1.21749,0.008812,0.008812,0.008812
20,3260.27,0.93753,1.05645,1.24089,0.77234,0.72016,0.78912,0.58184,0.95283,0.87478,1.19955,0.008746,0.008746,0.008746
21,3422.5,0.93553,1.05008,1.23664,0.78776,0.73921,0.80365,0.5997,0.93327,0.82885,1.19347,0.00868,0.00868,0.00868
22,3584.71,0.92164,1.03384,1.23311,0.79518,0.72222,0.80314,0.60081,0.93226,0.8319,1.18405,0.008614,0.008614,0.008614
23,3747.38,0.92277,1.0179,1.22853,0.79498,0.7276,0.80561,0.60058,0.93458,0.82325,1.18684,0.008548,0.008548,0.008548
24,3909.81,0.91471,1.00051,1.22263,0.79146,0.73495,0.80819,0.60475,0.92857,0.82805,1.18195,0.008482,0.008482,0.008482
25,4072.08,0.91217,1.00346,1.22287,0.818,0.73419,0.82192,0.62262,0.91302,0.78363,1.17129,0.008416,0.008416,0.008416
26,4234.4,0.90404,0.98769,1.21595,0.81078,0.7397,0.82417,0.62555,0.899,0.77628,1.15903,0.00835,0.00835,0.00835
27,4396.94,0.89913,0.98225,1.21279,0.81565,0.7455,0.82967,0.62886,0.90556,0.76589,1.16238,0.008284,0.008284,0.008284
28,4559.24,0.89213,0.9683,1.20745,0.80618,0.7608,0.83292,0.63443,0.90295,0.75606,1.16418,0.008218,0.008218,0.008218
29,4721.3,0.89595,0.95401,1.20653,0.81869,0.74735,0.83267,0.63284,0.89532,0.75981,1.15327,0.008152,0.008152,0.008152
30,4882.97,0.8852,0.94188,1.19983,0.80196,0.75818,0.83515,0.64004,0.89177,0.74623,1.15677,0.008086,0.008086,0.008086
31,5045.55,0.88127,0.93034,1.19563,0.83552,0.75547,0.84145,0.63938,0.89112,0.7403,1.15245,0.00802,0.00802,0.00802
32,5208.21,0.87876,0.93059,1.19321,0.82323,0.76021,0.84128,0.64419,0.8825,0.73141,1.14389,0.007954,0.007954,0.007954
33,5370.66,0.8762,0.9226,1.19082,0.82508,0.76264,0.84359,0.64867,0.8725,0.73118,1.13571,0.007888,0.007888,0.007888
34,5533.16,0.86746,0.92052,1.19165,0.83496,0.76141,0.84753,0.65014,0.87621,0.72287,1.14129,0.007822,0.007822,0.007822
35,5695.42,0.85989,0.9063,1.18365,0.82524,0.76752,0.84951,0.65474,0.86993,0.71621,1.1357,0.007756,0.007756,0.007756
36,5857.21,0.86154,0.89818,1.18311,0.81861,0.7843,0.85381,0.65903,0.86623,0.70389,1.13107,0.00769,0.00769,0.00769
37,6019.65,0.86458,0.90047,1.18443,0.83423,0.77362,0.8539,0.6593,0.86419,0.70089,1.13241,0.007624,0.007624,0.007624
38,6181.47,0.86003,0.88599,1.17761,0.84015,0.77147,0.85494,0.6623,0.86643,0.70095,1.13093,0.007558,0.007558,0.007558
39,6343.63,0.85857,0.88509,1.18038,0.836,0.77173,0.85605,0.66346,0.8629,0.69698,1.13001,0.007492,0.007492,0.007492
40,6505.75,0.85653,0.876,1.17535,0.82755,0.79158,0.85956,0.66529,0.85841,0.69237,1.12301,0.007426,0.007426,0.007426
41,6667.84,0.8477,0.87213,1.17551,0.82643,0.78942,0.85731,0.66655,0.85719,0.68757,1.12517,0.00736,0.00736,0.00736
42,6829.25,0.83778,0.85647,1.16832,0.82657,0.78834,0.85956,0.66959,0.85468,0.68249,1.12229,0.007294,0.007294,0.007294
43,6991.25,0.8337,0.85491,1.16661,0.83214,0.78576,0.85912,0.6694,0.8503,0.68368,1.11988,0.007228,0.007228,0.007228
44,7153.4,0.84018,0.8523,1.1655,0.84177,0.778,0.8602,0.67226,0.84941,0.67772,1.12083,0.007162,0.007162,0.007162
45,7315.7,0.83456,0.84366,1.16343,0.83251,0.78849,0.86212,0.672,0.84986,0.67317,1.12028,0.007096,0.007096,0.007096
46,7477.65,0.83017,0.83761,1.15924,0.83839,0.78672,0.86321,0.67293,0.84957,0.67048,1.11975,0.00703,0.00703,0.00703
47,7639.96,0.83228,0.83308,1.16025,0.83903,0.78495,0.8619,0.67309,0.84859,0.67021,1.11888,0.006964,0.006964,0.006964
48,7802.05,0.82792,0.82873,1.15807,0.83846,0.78552,0.86256,0.67392,0.84668,0.66727,1.1158,0.006898,0.006898,0.006898
49,7964.04,0.82176,0.81896,1.15084,0.83458,0.78996,0.86346,0.67405,0.84375,0.66588,1.11383,0.006832,0.006832,0.006832
50,8126.34,0.81785,0.81344,1.14956,0.83549,0.79104,0.86518,0.67519,0.84587,0.66376,1.11543,0.006766,0.006766,0.006766
