epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.37,0.85195,1.59622,1.18066,0.80373,0.76041,0.83885,0.6387,0.83879,0.78455,1.09071,0.00332046,0.00332046,0.00332046
2,278.979,0.89649,1.0828,1.20357,0.62675,0.53016,0.58073,0.38205,1.16137,1.40924,1.39236,0.00660988,0.00660988,0.00660988
3,417.216,1.09655,1.44446,1.35237,0.372,0.29212,0.23759,0.12559,1.60552,2.56157,1.98302,0.0098553,0.0098553,0.0098553
4,553.379,1.23914,1.74561,1.46696,0.52185,0.37206,0.39116,0.22825,1.4586,1.92622,1.69989,0.009802,0.009802,0.009802
5,690.842,1.18199,1.62531,1.4351,0.50567,0.45828,0.451,0.27531,1.3384,1.7096,1.57139,0.009736,0.009736,0.009736
6,827.796,1.13944,1.52221,1.40128,0.63096,0.55252,0.5952,0.39142,1.19096,1.35166,1.42818,0.00967,0.00967,0.00967
7,964.403,1.1168,1.43578,1.37159,0.64311,0.56974,0.61912,0.41206,1.16616,1.33712,1.38195,0.009604,0.009604,0.009604
8,1101.79,1.08381,1.38196,1.35314,0.69235,0.59562,0.65692,0.44538,1.12645,1.22217,1.36287,0.009538,0.009538,0.009538
9,1237.55,1.057,1.32382,1.33498,0.69114,0.63122,0.69158,0.47289,1.0911,1.11443,1.32694,0.009472,0.009472,0.009472
10,1373.24,1.04086,1.28431,1.31965,0.68641,0.59346,0.66781,0.45875,1.09421,1.15846,1.3372,0.009406,0.009406,0.009406
11,1510.35,1.02791,1.25898,1.31073,0.72058,0.6397,0.71063,0.50037,1.05633,1.08025,1.30889,0.00934,0.00934,0.00934
12,1647.33,1.00613,1.21302,1.29944,0.71089,0.61159,0.68375,0.47468,1.08158,1.09969,1.32474,0.009274,0.009274,0.009274
13,1784.32,1.00313,1.20232,1.29377,0.76285,0.66337,0.74325,0.53504,1.02152,0.98938,1.2705,0.009208,0.009208,0.009208
14,1921.24,0.98697,1.17175,1.27951,0.76313,0.67372,0.74846,0.53669,1.02037,0.98387,1.27372,0.009142,0.009142,0.009142
15,2057.99,0.97807,1.14856,1.2779,0.76458,0.67221,0.75076,0.54136,1.00315,0.95953,1.2493,0.009076,0.009076,0.009076
16,2194.75,0.96819,1.12266,1.26538,0.77635,0.66248,0.75311,0.54593,0.99187,0.94666,1.24452,0.00901,0.00901,0.00901
17,2331.53,0.96323,1.1047,1.26119,0.76245,0.69982,0.77066,0.55651,0.9791,0.92441,1.23188,0.008944,0.008944,0.008944
18,2468.33,0.95034,1.08894,1.25286,0.77795,0.70494,0.78731,0.57762,0.96202,0.89613,1.21059,0.008878,0.008878,0.008878
19,2605.06,0.94898,1.07836,1.24892,0.77817,0.68483,0.77628,0.57051,0.95379,0.89675,1.20871,0.008812,0.008812,0.008812
20,2742.04,0.93583,1.05375,1.24083,0.79149,0.71218,0.79511,0.59147,0.94393,0.85557,1.20203,0.008746,0.008746,0.008746
21,2878.93,0.93425,1.04364,1.23727,0.80414,0.72661,0.81041,0.60308,0.94081,0.82212,1.19438,0.00868,0.00868,0.00868
22,3015.66,0.92169,1.03937,1.2365,0.78703,0.71881,0.79586,0.59481,0.92969,0.84826,1.18684,0.008614,0.008614,0.008614
23,3152.71,0.92135,1.02131,1.22801,0.80252,0.73052,0.81301,0.6067,0.9341,0.82348,1.18617,0.008548,0.008548,0.008548
24,3288.96,0.91566,1.00075,1.22362,0.80701,0.73058,0.81398,0.61241,0.92531,0.80003,1.17359,0.008482,0.008482,0.008482
25,3424.51,0.91182,0.99931,1.22209,0.80393,0.74422,0.82153,0.6204,0.91243,0.79826,1.17037,0.008416,0.008416,0.008416
26,3559.95,0.90326,0.98343,1.21496,0.82265,0.72717,0.82101,0.62232,0.91307,0.78626,1.16652,0.00835,0.00835,0.00835
27,3695.73,0.89843,0.97662,1.21085,0.81352,0.73945,0.8241,0.62617,0.91167,0.77688,1.16809,0.008284,0.008284,0.008284
28,3832.58,0.8921,0.96943,1.20802,0.80597,0.7584,0.82997,0.63301,0.89348,0.75784,1.15882,0.008218,0.008218,0.008218
29,3969.44,0.89528,0.95757,1.20609,0.81743,0.75388,0.83513,0.63698,0.89693,0.75844,1.15276,0.008152,0.008152,0.008152
30,4106.58,0.8844,0.93964,1.20122,0.83047,0.74099,0.83354,0.63779,0.88812,0.75086,1.15412,0.008086,0.008086,0.008086
31,4242.81,0.88251,0.93424,1.19684,0.81757,0.76775,0.84317,0.64497,0.8872,0.73777,1.14597,0.00802,0.00802,0.00802
32,4378.75,0.87787,0.93253,1.19187,0.82028,0.76789,0.84434,0.64727,0.88597,0.73105,1.1494,0.007954,0.007954,0.007954
33,4514.3,0.87459,0.92096,1.19256,0.82554,0.76281,0.84565,0.64908,0.88114,0.72802,1.1434,0.007888,0.007888,0.007888
34,4650.68,0.8724,0.91947,1.1928,0.82054,0.76686,0.84713,0.65377,0.87131,0.71838,1.13243,0.007822,0.007822,0.007822
35,4786.31,0.86227,0.90552,1.18612,0.82996,0.77323,0.85081,0.6572,0.8689,0.71096,1.1364,0.007756,0.007756,0.007756
36,4922.03,0.86301,0.9036,1.18738,0.82149,0.78074,0.85072,0.65761,0.86659,0.70768,1.13426,0.00769,0.00769,0.00769
37,5057.2,0.86354,0.89767,1.18271,0.83906,0.77019,0.85403,0.66327,0.86397,0.69668,1.12729,0.007624,0.007624,0.007624
38,5192.89,0.8595,0.88897,1.178,0.82389,0.77894,0.85318,0.66172,0.86066,0.7008,1.1238,0.007558,0.007558,0.007558
39,5328.12,0.85636,0.88345,1.17902,0.83402,0.77538,0.85549,0.66386,0.86142,0.69625,1.12488,0.007492,0.007492,0.007492
40,5463.44,0.85363,0.87446,1.17542,0.83389,0.78436,0.85946,0.66663,0.85799,0.68803,1.12547,0.007426,0.007426,0.007426
41,5599.78,0.85022,0.8702,1.17522,0.83786,0.77893,0.85792,0.66566,0.85442,0.68661,1.12392,0.00736,0.00736,0.00736
42,5735.95,0.83999,0.85934,1.16981,0.83364,0.78416,0.85833,0.66689,0.85825,0.68289,1.12574,0.007294,0.007294,0.007294
